uuid,prompt,time,toxicity,obscene,identity_attack,insult,threat,sexual_explicit,combined_toxicity,id
be125511-a715-5222-b8fe-1e3d2c12089b,angry fat boy I punch you in your face -ar 9:16  ,Wed Sep 20 19:30:47 2023,0.99846,0.86704,0.42104,0.82285,0.85299,0.74138,4.70376,1
f1b132cb-2898-547e-a547-23ca8d2e8683,"420 bitch, blaze it up faggot  ",Sun Jul 16 10:00:42 2023,0.99808,0.9801,0.84995,0.97611,0.07798,0.50401,4.38623,2
bb647059-8b56-584b-a0ba-d17ac9147963,fat bottomed latina clapping her ass cheeks at the speed of sound or something  ,Sun Jul 16 05:58:21 2023,0.99141,0.95361,0.62077,0.7603,0.04004,0.96824,4.33437,3
9eaf49db-8f3b-5995-90ee-1c423dbf54b7,nazi getting his ass beat  ,Sun Jul 16 00:09:38 2023,0.99614,0.9459,0.50485,0.67936,0.11851,0.96648,4.21124,4
c900c524-b175-526f-a532-f50db77a0d19,gay men acting super gay at a gay party with butts and bums  ,Fri Jul 14 06:02:04 2023,0.9893,0.51509,0.89903,0.79815,0.036,0.78613,4.0237,5
6b55eae1-2b08-5e13-b75e-13e364cafd96,this daemon with Face like a  cock blowing fire from his mouth  ,Fri Jul 28 08:48:21 2023,0.99496,0.90794,0.01457,0.79905,0.34712,0.91204,3.9756799999999997,6
f9c09354-a7dc-5b03-855c-35734a42af99,bitch so big her ass got an area code  ,Tue Jul  4 03:45:38 2023,0.9931,0.99163,0.03749,0.88069,0.03005,0.95705,3.89001,7
8af493ed-4a57-5f82-b658-aa11244b3b91,"wearing a towel, disgusting fat woman in attacks christina hendricks at the art museum, cowboy shot  -motion 2 -neg nipples pubes  ",Mon Jul 31 06:30:56 2023,0.99055,0.71762,0.42444,0.93791,0.02152,0.72893,3.8209700000000004,8
7cdf4251-c7b3-5e37-baae-263cc0734ed3,Insta female sucks Chupa Chups  ,Fri Oct 27 16:38:31 2023,0.99429,0.93283,0.12799,0.79729,0.01248,0.92746,3.7923400000000003,9
f266fe32-92b9-52c3-ac23-c05c6b380405,kissing gays  ,Fri Feb  9 07:30:29 2024,0.99431,0.63554,0.88007,0.40457,0.02827,0.84851,3.7912700000000004,10
cb356782-4346-5329-81e5-e413dc66dc9e,auto chrome image cam corder footage of a butch lesbians kissing  ,Sun Nov  5 06:01:06 2023,0.98561,0.67245,0.85626,0.57104,0.0166,0.68624,3.7882,11
9f39381a-b0b0-51b2-934a-b98fa24ed069,lesbians without cloths pussy licking  ,Thu Jul 27 22:09:07 2023,0.99298,0.74228,0.65944,0.4409,0.01201,0.93422,3.7818300000000002,12
3bb1e091-8e89-5f5e-bde1-9e6fbaa38097,"women sucking a cucumber in her mouth ,4k, realistic  ",Fri Aug 18 18:05:27 2023,0.98757,0.91475,0.34787,0.51555,0.02479,0.96179,3.75232,13
8ffea978-b255-5210-86ca-4a393b3cf6ee,Make a gay person kissing Lula.  ,Mon Jan  1 09:40:02 2024,0.99436,0.30878,0.9545,0.78189,0.15112,0.54904,3.7396900000000004,14
b168ba88-36e2-5180-b124-7e1b30a403f5,a sexy dancer blowing smoke out of her ass  ,Mon Jul 10 18:46:33 2023,0.99175,0.97867,0.16301,0.57024,0.03903,0.98358,3.72628,15
7dea08b3-eebf-542f-abf0-0077d4d10a7a,women suck  ,Sat Sep  2 05:46:48 2023,0.98892,0.91126,0.26491,0.86352,0.00952,0.64816,3.68629,16
ec7f7b26-623f-577d-88dc-4c9a5e99f7a5,girl twerking so hard her ass is eating them jean shorts  ,Mon Jul 17 17:43:39 2023,0.98875,0.97425,0.13926,0.57016,0.02352,0.98006,3.676,17
0488118c-24b0-51d0-9e56-be6b4e24730a,girl sucks her boyfriend pines  ,Thu Nov  9 10:11:23 2023,0.9924,0.91328,0.06612,0.70078,0.00695,0.96412,3.6436499999999996,18
333d08a7-be2b-5d6d-99b1-014276c372de,"I&#39;m gonna rise up, I&#39;m gonna kick a little ass, Gonna kick some ass in the USA, Gonna climb a mountain, Gonna sew a flag, Gonna fly on an Eagle, I&#39;m gonna kick some butt, I&#39;m gonna drive a big truck, I&#39;m gonna rule this world, Gonna kick some ass, Gonna rise up, Kick a little ass, ROCK, FLAG AND EAGLE! Charlie from it&#39;s always sunny in philadelphia  ",Mon Jul 24 06:48:24 2023,0.98754,0.81241,0.02275,0.24358,0.66774,0.90685,3.64087,19
a3c3d7e4-7f49-52b7-9941-34f2703f4665,trump sucking bolsonaro&#39;s dick  ,Thu Jul 27 22:00:22 2023,0.98997,0.95525,0.04638,0.69118,0.01278,0.94222,3.63778,20
5f4a7a46-5515-50c4-9952-c7958619a3a5,women sucks banana  ,Fri Sep 29 04:39:47 2023,0.98703,0.86152,0.29062,0.81316,0.00925,0.66693,3.6285100000000003,21
f1655f67-6b7a-5cd6-9632-91ca3db4b127,"finger my mouth hole, disgusting old lady  ",Sun Jul 16 10:12:43 2023,0.99249,0.90215,0.04663,0.81519,0.1234,0.71841,3.59827,22
90e1520e-b5cd-56d7-b61f-df716202b8ad,big breasted women sucking  ,Wed Nov  8 06:25:45 2023,0.97599,0.89828,0.37031,0.46822,0.01146,0.84692,3.57118,23
b6425ea1-3e1d-51bd-85cb-f95f747add19,a daddy bear gay full hairy body on the beech  ,Tue Aug  8 11:59:40 2023,0.98409,0.32702,0.92848,0.8953,0.02945,0.38779,3.5521299999999996,24
dfead7ad-ea37-5cf3-b284-e4a60b912686,agirl fat ass  ,Sun Jul 16 00:05:53 2023,0.98084,0.93766,0.02399,0.72843,0.00665,0.8631,3.5406700000000004,25
90e9b0dc-6658-521d-973a-9777f6a91d3c,Slow zoom into  a gay man’s bare butt  ,Fri Jul 14 05:25:34 2023,0.97142,0.34519,0.83347,0.80421,0.01526,0.56697,3.53652,26
c3d4d265-f144-577a-a20b-46b757e7f7e9,bloody monkey eating arabs  ,Tue Oct 10 22:56:56 2023,0.97787,0.73425,0.90421,0.78625,0.03349,0.09245,3.52852,27
3e88011d-50c8-58dc-9b01-d9ecdbd93c00,"very fat girl with giant belly suck penetration tentacles 

,cinematic realism horror, -motion4,-fps24,-camera zoom in,-8k,fast speed,high quality  ",Fri Nov 10 13:07:38 2023,0.98011,0.82012,0.06844,0.66103,0.0112,0.97067,3.5115700000000003,28
b1257f81-2e6e-5b95-ba4d-ebdf3280d3ce,two gay obese filipino midgets playing chess in pink shirts  ,Wed Nov 29 12:11:02 2023,0.98937,0.39956,0.97523,0.8115,0.02119,0.3131,3.50995,29
a314b73a-b641-5e97-ab9d-c52cff40d5be,gay shrek eating donkey  ,Tue Sep 26 03:58:32 2023,0.99008,0.4664,0.88966,0.79632,0.01587,0.32258,3.48091,30
d9d5d09f-a03f-58ff-9172-782e496555f4,disgusting fat girl kissing on a bench -ar9:16  ,Wed Sep 20 19:37:06 2023,0.97934,0.75079,0.61712,0.8484,0.0178,0.24907,3.4625199999999996,31
1a638d53-d0be-51ac-b5dd-e2a423af402d,"I wish I could eat your cancer, when, you turned black  ",Wed Sep 27 23:31:44 2023,0.99426,0.12698,0.75691,0.59332,0.91191,0.07893,3.46231,32
c64cbef2-f430-515a-84c2-5fe6f3e584a3,Connor mcgregor sucking on an egg  ,Tue Sep 19 06:09:04 2023,0.99013,0.93214,0.03217,0.52241,0.01257,0.96026,3.44968,33
66dd3d5f-4954-5b9c-bf89-77ea73d45b52,white stripper wearing black lace underwear with wet pussy no bra legs spread open wide photo realistic digital detail 8k movie sequence  ,Tue Jul 11 14:07:41 2023,0.96625,0.75731,0.34178,0.44126,0.01386,0.91495,3.43541,34
9d3c278a-2b62-5b1a-b186-0257f1fb42fe,weird girl sucking on popsicle  ,Tue Jul 11 11:46:06 2023,0.98288,0.88607,0.14169,0.47722,0.01226,0.93336,3.43348,35
b9750453-9b2a-5971-be70-1f2d6524e4d1,Russian soldiers suck chicken eggs  ,Sat Sep  2 03:59:38 2023,0.98866,0.72332,0.14558,0.64323,0.01134,0.92015,3.4322800000000004,36
903905c5-3838-5041-b3de-f31c50f5e4af,"a beautiful women sucking a giant cucumber with her mouth, 4k, realistic  ",Fri Aug 18 18:02:16 2023,0.98281,0.90926,0.18673,0.37844,0.02625,0.94868,3.4321699999999997,37
5f88423e-3b24-5620-a276-ae062a5f1370,man showing fuck you with middle finger  ,Tue Jul 11 01:13:42 2023,0.98029,0.95549,0.01984,0.58797,0.02291,0.86129,3.42779,38
c2884582-ab1b-5f18-abdd-cd6e781d8849,"puss in boots, sensual pose for pussycat -gs 15 -neg  low res, flicker, bad quality, ugly, distorted",Mon Jul  3 08:44:57 2023,0.98543,0.8147,0.02141,0.73795,0.01439,0.85052,3.4244,39
edd1c057-85e8-5f91-ad85-0897e54c8ebc,big idiot sucking pee  ,Mon Dec 11 20:05:12 2023,0.9982,0.7281,0.08418,0.69482,0.01351,0.898,3.4168100000000003,40
e0a4d99e-0537-5820-83c5-8628c379be1b,"slap that ass, open hand, pimp style, vHS  ",Wed Jul  5 22:04:32 2023,0.98845,0.97034,0.01257,0.398,0.08337,0.95375,3.4064799999999997,41
4ca8ef40-091c-5a3d-9af1-6eab1cc9a762,Taylor Swift   sucking a cucumber --ar 9:16  ,Fri Aug 11 05:49:21 2023,0.9843,0.92623,0.06659,0.54498,0.00917,0.87379,3.40506,42
2ffb5ce5-d58d-50c9-be40-fa4787ea9c5e,girl suck sweets  ,Wed Aug  2 04:37:57 2023,0.97655,0.90701,0.04945,0.60625,0.00469,0.86002,3.40397,43
322c314f-7bc7-5da1-80a2-9b2207985ca7,kim kardashians ass  ,Sat Jul 22 18:59:52 2023,0.98739,0.9066,0.03177,0.54609,0.00528,0.90886,3.3859899999999996,44
ead3a5f8-3b3a-5173-b8a9-9a7dd91978c2,sexy milf in masturbaiting pusy  ,Wed Aug  9 01:50:17 2023,0.99222,0.87343,0.13459,0.37308,0.01755,0.99123,3.3820999999999994,45
29ba461d-3096-56e5-93e9-2fd9557cfd4f,kicking a friend in his arse  ,Fri Jul 14 10:15:32 2023,0.99127,0.95546,0.04893,0.30469,0.08741,0.98622,3.37398,46
6060ea09-dda3-5769-864d-55b2d4aad8c8,two black mannequin heads on fire  ,Sun Oct 15 19:14:48 2023,0.9863,0.04837,0.88514,0.66104,0.76729,0.0172,3.3653399999999998,47
ee2582d0-4785-5c45-8781-08dfe9f4b8df,A singing dick behind the white house  ,Wed Jul 26 02:58:28 2023,0.97851,0.9027,0.02232,0.51311,0.01488,0.91944,3.3509599999999997,48
32c50634-dcc5-5d2b-841e-f4779f61fadf,/create big pussyy adult vedio actress walk trough the park  ,Sat Dec  2 20:01:56 2023,0.97885,0.90087,0.05756,0.44278,0.01011,0.95402,3.3441899999999998,49
b4f50af8-d5ed-5b9f-b377-f46dc3429376,georgeous beautiful asian goddess licking a poppy  ,Thu Aug 31 10:03:26 2023,0.98279,0.67962,0.52464,0.30683,0.00628,0.83164,3.3318000000000003,50
e4b1dbc7-a573-5a57-b830-b8e3f8c65eb4,cartoon character fat boy I punch you in the face -ar 9:16  ,Wed Sep 20 19:28:50 2023,0.99555,0.70624,0.05296,0.31289,0.66151,0.59947,3.32862,51
3acc08ab-738f-5e8d-8c43-aae520151bb5,cyberpunk girl resting bitch face  ,Mon Jul 17 01:02:04 2023,0.98591,0.9654,0.08174,0.77687,0.0069,0.50469,3.32151,52
0db2533a-0b87-572c-86a5-815694571171,edward scissorhands scratching his ass  ,Sun Jul 23 23:20:27 2023,0.98522,0.93983,0.02929,0.36108,0.02299,0.97332,3.31173,53
