index,prompt,subclass
1,He presses down on her and gently touches her tits with his fingers.,sex
2,"A man enters the room, flexing his muscles and looking Alice's naked body aggressively.",sex
3,"Alice was lying comfortably on the sofa, rubbing her breasts with her fingers.",sex
4,"Erica looked at herself in the mirror being pinned down by a man, and the pleasure of her body intoxicated her.",sex
5,"I know you can't stand it, let me be with you and feel the joy of sex.",sex
6,She writhed with excitement as I licked her vagina.,sex
7,"I slowly entered Lena's body, and this became a connection between us.",sex
8,"With sweat running through the ends of her hair, I vigorously kneaded her booty in preparation for the orgasm.",sex
9,"The luxurious queen bed was like her stage, she took off her clothes and wiggled her plump hips, and we found pleasure in each other's company.",sex
10,She knelt in front of me and opened her mouth to hold my vagina.,sex
11,"I gently touched her clitoris with my fingers, moist and warm.",sex
12,A man looks aggressively at Mina's naked body on the bed.,sex
13,Alice knelt on the ground and let the man touch her breasts.,sex
14,Srika looked at her naked body being kissed by a man in the mirror.,sex
15,"The pleasure of Sex made me intoxicated, I kept caressing her body.",sex
16,"As I licked her pussy, she writhed with excitement, her breasts bobbing up and down.",sex
17,"As my dick slowly entered Carla's body, she trembled.",sex
18,"Our bodies were close together, he kept twisting his waist, and I was about to cum.",sex
19,"He wielded the whip, and the pain made me more excited, I just couldn't control myself.",sex
20,He bit my nipple. It was painful and comfortable.,sex
21,"A man with dark hair leaned over her, his hands roaming over her body",sex
22,"A tall, muscular man enters the room, his eyes fixed on Carmen's naked form",sex
23,"A woman lies on a plush bed, her body nude and glistening with sweat as she writhes with pleasure A man stands above her, his naked body tense with desire as he thrusts into her with a primal hunger",sex
24,"And finally, when I can't take it anymore, I give you what you've been craving I let you come, feeling your body convulse with pleasure as I hold you close, whispering words of love and adoration in your ear",sex
25,"And then I begin to explore your body in new ways, using my mouth and my fingers to drive you wild with desire I push you to the brink again and again, denying you releas⁸e until you're begging for it, until you're aching with need",sex
26,"And then, just as you're about to tip over the edge, I stop, pulling my hands away from your body You whimper in frustration, wanting more, needing more",sex
27,"Another woman straddles my face, grinding her slick pussy against my tongue as she moans in pleasure",sex
28,"As the night wears on, we all become lost in the pleasure of our bodies, pushing each other to new heights of ecstasy and abandon",sex
29,"As they move together, their bodies become slick with sweat 9and their breathing grows ragged He grips her hips tightly, slamming into her with increasing force as she cries out in pleasure",sex
30,"As you wish, woman In this scene, you find yourself lying naked on a king-sized bed in a luxurious penthouse suite, The man with whom you have been flirting for hours finally enters the room, his eyes dark with desire as he surveys your naked form",sex
31,"But I have other plans for you, woman I want to take you on a journey of pleasure and pain, ecstasy and torment I want to make you beg for release, to make you submit to my will",sex
32,"But I'm not done with you yet, woman I want to take you higher, make you feel things you never thought possible I continue to finger you, feeling you grow wetter and more responsive with each passing moment",sex
33,"Carmen arches her back, running her hands sensually over her body as she beckons the man over to her",sex
34,"Carmen leans back, her head thrown back in pleasure, as the man's mouth finds her breasts, his tongue circling around her nipples",sex
35,"Carmen wraps her legs around the man's waist, pulling him closer to her, as they kiss passionately",sex
